p,Rs,Bo,Muo,Bg,Mug
5663.4340,470.2062,1.2458,2.9240,,
5120.3880,470.2062,1.2494,2.8010,,
4551.4560,470.2062,1.2533,2.6710,,
3982.5240,470.2062,1.2577,2.5420,,
3413.5920,470.2062,1.2622,2.4130,,
2844.6600,470.2062,1.2672,2.2840,,
2442.5670,470.2062,1.2710,2.1940,,
1706.7960,358.3750,1.2250,2.7890,0.0091,0.0168
1066.7480,261.5680,1.1830,3.7700,0.0150,0.0148
568.9320,183.6689,1.1480,5.2680,0.0292,0.0135
284.4660,134.1626,1.1250,6.6380,0.0601,0.0126
71.1170,68.2122,1.0850,9.9120,0.2490,0.0110
14.6960,0.0000,1.0000,17.5670,1.2614,0.0092
